lat_lon	lat	lon	dataset	NR	R
-30.000233 S 136.209152 E	-30.000233	136.209152	Gunjur_2024	51	55
29.7604 N 95.3698 W	29.7604	-95.3698	Gopalakrishnan_2018	11	14
29.7604 N 95.3698 W	29.7604	-95.3698	Spencer_2021	46	88
32.8094 N 96.8365 W	32.8094	-96.8365	Frankel_2017	15	24
33.435341 N -112.358253 W	33.435341	-112.358253	Heshiki_2020	5	6
39.90 N 116.41 E	39.90	116.41	Peng_2020	15	25
40.454 N 79.933 W	40.454	-79.933	McCulloch_2022	7	20
41.39016802 N 2.152483561 E	41.39016802	2.152483561	Lee_2022	7	5
41.65966 N 91.54766 W	41.65966	-91.54766	Liu_2022	4	10
41.881832 N -87.623177 W	41.881832	-87.623177	Matson_2019	24	14
50.9241 N 6.9195 E	50.9241	6.9195	Tsakmaklis_2023	14	15
51.49766788 N -0.119759159 W	51.49766788	-0.119759159	Lee_2022	21	33
53.22142806 N 6.574345097 E	53.22142806	6.574345097	Lee_2022	22	33
53.42969912 N -2.228100629 W	53.42969912	-2.228100629	Lee_2022	12	13
53.80605739 N -1.522751916 W	53.80605739	-1.522751916	Lee_2022	8	10
